My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@DataDivergent,33.,3,@DataDivergent,@professorkao,35.,3,no,yes
@DataDivergent,33.,3,@DataDivergent,@datawithjules,36.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@GrizzleEvelyn,37.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@DanielYerger3,38.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@ioloro,39.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@JeremyBlaney,40.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@SD_TUG,41.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@Rika_Olga_F,42.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@prem_prasann,43.,3,no,yes
@DataDivergent,33.,3,@DataDivergent,@Jeopardy,44.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@AlDatavizguy,45.,3,no,no
@JohannaJoso,34.,3,@JohannaJoso,@tableaupublic,1.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@professorkao,2.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@fredffery,3.,1,no,no
@JohannaJoso,34.,3,@JohannaJoso,@ScottKimly,4.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@prem_prasann,5.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@tableau,6.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@imagineazhar,7.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@NicoleKlassen12,8.,1,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@VizByMoon,9.,2,yes,no
@JohannaJoso,34.,3,@JohannaJoso,@vizvithvarun,10.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@nicolemark_,11.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@FlerlageKev,12.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@AdamMico1,13.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@KevinWee90,14.,2,no,yes
@JohannaJoso,34.,3,@JohannaJoso,@sarahlovesdata,15.,2,no,yes
