Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Europe,80.620003,2003,Europe,,95,Country 95
Western Pacific,73.410004,2011,Asia and Oceania,,105,Country 105
South-East Asia,63.169998,1999,Asia and Oceania,,43,Country 43
Africa,59.240002,2004,Africa,Central Africa,11,Country 11
Eastern Mediterranean,75.019997,2006,Asia and Oceania,,130,Country 130
South-East Asia,73.860001,2009,Asia and Oceania,,3,Country 3
Eastern Mediterranean,75.889999,2006,Asia and Oceania,,131,Country 131
Europe,75.440002,2008,Europe,,128,Country 128
Americas,74.870003,2001,Americas,,143,Country 143
Americas,71.080002,2009,Americas,,138,Country 138
Western Pacific,62.700001,2000,Asia and Oceania,,140,Country 140
Eastern Mediterranean,73.510002,1997,Asia and Oceania,,163,Country 163
Africa,57.529999,2012,Africa,Central Africa,141,Country 141
Africa,71.449997,2003,Africa,Eastern Africa,139,Country 139
Americas,77.760002,2006,Americas,,142,Country 142
Europe,69.220001,2007,Europe,,151,Country 151
South-East Asia,71.230003,1998,Asia and Oceania,,26,Country 26
Americas,73.120003,2004,Americas,,87,Country 87
Africa,58.689999,2011,Africa,Southern Africa,152,Country 152
Europe,65.449997,2001,Asia and Oceania,,56,Country 56
Americas,75.639999,1997,Americas,,142,Country 142
Africa,58.27,2002,Africa,Western Africa,164,Country 164
South-East Asia,73.32,2002,Asia and Oceania,,3,Country 3
Western Pacific,81.089996,2005,Asia and Oceania,,41,Country 41
Eastern Mediterranean,60.25,2011,Africa,Northern Africa,32,Country 32
Europe,80.540001,2005,Europe,,33,Country 33
Europe,69.25,1997,Europe,,54,Country 54
Europe,80.769997,2013,Europe,,37,Country 37
Western Pacific,63.720001,2005,Asia and Oceania,,140,Country 140
Americas,77.260002,2003,Americas,,142,Country 142
